,Area Name,Total/ Rural/Urban,Age-group,Total disabled population - Persons,Total disabled population - Males,Total disabled population - Females,Main worker - Persons,Main worker - Males,Main worker - Females,Non-worker - Persons,Non-worker - Males,Non-worker - Females
112,HIMACHAL PRADESH,Urban,0-14,7.234758284861075e-06,112,0.422680412371134,2,0.0,0.010309278350515464,190,0.5670103092783505,0.41237113402061853
113,HIMACHAL PRADESH,Urban,15-59,2.259929649807119e-05,358,0.40924092409240925,124,0.17491749174917492,0.0297029702970297,457,0.3927392739273927,0.3613861386138614
114,HIMACHAL PRADESH,Urban,60+,2.1629689717625893e-06,31,0.46551724137931033,7,0.10344827586206896,0.017241379310344827,49,0.43103448275862066,0.41379310344827586
115,HIMACHAL PRADESH,Urban,Age not stated,3.729256847866533e-08,0,1.0,0,0.0,0.0,1,0.0,1.0
116,HIMACHAL PRADESH,Urban,0-14,1.6408730130612747e-06,23,0.4772727272727273,0,0.0,0.0,44,0.5227272727272727,0.4772727272727273
117,HIMACHAL PRADESH,Urban,15-59,1.0665674584898286e-05,189,0.33916083916083917,32,0.09090909090909091,0.02097902097902098,238,0.5209790209790209,0.3111888111888112
118,HIMACHAL PRADESH,Urban,60+,2.6477723619852385e-06,49,0.30985915492957744,7,0.08450704225352113,0.014084507042253521,62,0.5774647887323944,0.29577464788732394
119,HIMACHAL PRADESH,Urban,Age not stated,3.729256847866533e-08,0,1.0,0,0.0,0.0,1,0.0,1.0
120,HIMACHAL PRADESH,Urban,0-14,1.901920992411932e-05,285,0.4411764705882353,5,0.00784313725490196,0.00196078431372549,500,0.5470588235294118,0.43333333333333335
121,HIMACHAL PRADESH,Urban,15-59,7.301884908122673e-05,1090,0.4433094994892748,850,0.3365679264555669,0.0975485188968335,933,0.1588355464759959,0.3176710929519918
122,HIMACHAL PRADESH,Urban,60+,1.1299648249035595e-05,158,0.47854785478547857,78,0.19471947194719472,0.0627062706270627,208,0.29042904290429045,0.39603960396039606
123,HIMACHAL PRADESH,Urban,Age not stated,3.729256847866533e-08,1,0.0,1,1.0,0.0,0,0.0,0.0
124,HIMACHAL PRADESH,Urban,0-14,8.763753592486354e-06,163,0.30638297872340425,1,0.00425531914893617,0.0,234,0.6893617021276596,0.30638297872340425
125,HIMACHAL PRADESH,Urban,15-59,2.1704274854583223e-05,366,0.3711340206185567,107,0.14948453608247422,0.03436426116838488,457,0.45532646048109965,0.32989690721649484
126,HIMACHAL PRADESH,Urban,60+,9.323142119666333e-06,129,0.484,22,0.076,0.012,220,0.412,0.468
127,HIMACHAL PRADESH,Urban,Age not stated,3.729256847866533e-08,0,1.0,0,0.0,0.0,1,0.0,1.0
128,PUNJAB,Rural,0-14,0.00033544665346559466,5030,0.44080044469149526,155,0.012340188993885491,0.0048916064480266815,8664,0.535408560311284,0.42779321845469703
129,PUNJAB,Rural,15-59,0.0009882530646846313,14888,0.43818867924528304,10251,0.33143396226415095,0.05539622641509434,13604,0.1730943396226415,0.34026415094339624
130,PUNJAB,Rural,60+,0.0007289578360524712,9859,0.4956259272522638,3006,0.13475213587762827,0.019031053358571647,15646,0.3421496904895892,0.4582800429733463
131,PUNJAB,Rural,Age not stated,4.586985922875836e-06,62,0.4959349593495935,26,0.17886178861788618,0.032520325203252036,94,0.3089430894308943,0.45528455284552843
132,PUNJAB,Rural,0-14,0.0006582138336484431,9779,0.44594900849858354,406,0.014787535410764873,0.00821529745042493,16835,0.5255524079320113,0.42827195467422097
133,PUNJAB,Rural,15-59,0.0017847850348204442,25828,0.46033139012515933,19611,0.3444075304540421,0.06535865772373012,23508,0.13957667314402725,0.351616205938277
134,PUNJAB,Rural,60+,0.0006723850096703359,9071,0.4968940654464781,3971,0.18935108153078203,0.030892956184137548,13098,0.28347199112590127,0.4429839156960621
135,PUNJAB,Rural,Age not stated,7.309343421818405e-06,104,0.46938775510204084,52,0.20408163265306123,0.061224489795918366,130,0.28061224489795916,0.3826530612244898
136,PUNJAB,Rural,0-14,0.00015282494562557052,2522,0.3845778428501708,50,0.008296730112249878,0.003904343582235237,3987,0.5980966325036603,0.37481698389458273
137,PUNJAB,Rural,15-59,0.00036781660290507615,5674,0.4247186454425631,3120,0.27851566460508975,0.03781810808070567,5971,0.24647673121768224,0.35891716516272937
138,PUNJAB,Rural,60+,7.589037685408396e-05,1088,0.46535626535626534,452,0.19606879606879607,0.026044226044226043,1489,0.3095823095823096,0.4221130221130221
139,PUNJAB,Rural,Age not stated,8.204365065306373e-07,12,0.45454545454545453,6,0.22727272727272727,0.045454545454545456,14,0.2727272727272727,0.36363636363636365
140,PUNJAB,Rural,0-14,0.00028159618458240194,4741,0.37213614090848895,103,0.010991921599788108,0.0026486558071778573,7352,0.6082638061183949,0.3653820686001854
